"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance","impact"
"CompanyIntel",0.0974295751776777,0.13852634244289,0.703328864817495,0.481858823891419,"",10.2333807167154
"CompanyIntercom",0.154224878636829,0.210533689522621,0.732542516053036,0.46384588829213,"",16.6753235156099
"CompanyIntuit",0.349386018384995,0.139205618300893,2.50985572744482,0.0120857015988972,"*",41.8196534628614
"CompanyIqvia",-0.0252646350909975,0.238682446375013,-0.105850411183159,0.91570207606765,"",-2.49481550506792
"CompanyIrobot",0.130634573240769,0.210672004335551,0.62008511122673,0.535208655126896,"",13.9551282684544
"CompanyJane Street Capital",1.25977031092765,0.172941273911142,7.28438204737015,3.34860848054106e-13,"***",252.461182956262
"CompanyJcpenney",0.136720574824043,0.185090432052343,0.738669056568946,0.460116447200305,"",14.6507740630305
"CompanyJohnson And Johnson",0.318883584435536,0.184988815129049,1.7237992697725,0.0847591826809171,".",37.5591175361119
"CompanyJp Morgan Chase",-0.0614423718795011,0.194990151998339,-0.315105000174698,0.752685143487198,"",-5.95928619262165
"CompanyJpmorgan",0.0563278846086093,0.13980830047509,0.402893708150363,0.687030626874416,"",5.79445105956966
"CompanyJump Trading",0.692848561623229,0.210565076453424,3.29042485721266,0.0010020525567649,"**",99.9402851290962
"CompanyJuniper Networks",0.0731857201422256,0.150902720733417,0.484986087636646,0.627691403132699,"",7.59303402961975
"CompanyJust Eat",-0.146915791507,0.308026026810216,-0.476959018782913,0.633396394758873,"",-13.6633322837901
"CompanyKaiser Permanente",0.0885482249052607,0.184863291419953,0.478993012756145,0.6319487149246,"",9.25869412417475
"CompanyKeeptruckin",0.286958589584081,0.194926786531856,1.472135229281,0.140999734610975,"",33.2369038377235
"CompanyKla",0.038598561896116,0.184822899298259,0.208840798638417,0.834574598381687,"",3.935316392835
"CompanyKpmg",0.00249625700225549,0.147781940104804,0.0168914889091671,0.986523347256856,"",0.249937524587218
"CompanyKroger",0.185326477173781,0.195021611167225,0.950286873667909,0.341977723917653,"",20.3611327614378
"CompanyL3Harris",-0.147390254250539,0.210711018444333,-0.699490018788348,0.484253795248715,"",-13.7042860997246
"CompanyLeidos",-0.146905577102277,0.172859098708863,-0.849857358967853,0.395414332733893,"",-13.6624504016197
"CompanyLek",0.211260981950105,0.184931144924812,1.14237643440751,0.253310941351316,"",23.52346869556
"CompanyLendingclub",0.243817096519707,0.159230014968235,1.53122573384388,0.125729062857761,"",27.6110904017263
"CompanyLiberty Mutual",-0.0362560346190513,0.163083675651599,-0.222315535103013,0.824070476919325,"",-3.5606656211756
"CompanyLinkedin",0.711351508604832,0.138566660832146,5.13364112502164,2.86789815020954e-07,"***",103.674207379142
"CompanyLiveramp",0.404619554882855,0.168882379199961,2.39586602699252,0.0165900701268665,"*",49.8732206231126
"CompanyLockheed Martin",-0.167516509959968,0.145577459089111,-1.15070362546599,0.249867623442665,"",-15.4237346333979
"CompanyLogmein",-0.0535326182178507,0.184898049311096,-0.289525056739678,0.772182539732777,"",-5.21249774944266
"CompanyLucid Software",0.0383539726386647,0.238761820748316,0.160636958281091,0.872380929213846,"",3.90989803963031
"CompanyLumentum",-0.243627309214671,0.238586386646332,-1.02112829084339,0.307205726317922,"",-21.622031269607
"CompanyLyft",0.864913245376006,0.13939797274053,6.20463288218634,5.58765465459454e-10,"***",137.480005215446
"CompanyMacy'S",-0.0573659405300367,0.168883764722144,-0.339677059096936,0.734103224026873,"",-5.5751532649141
"CompanyMagic Leap",0.933833324926207,0.194935468023184,4.79047417279213,1.67552570481516e-06,"***",154.424342016152
"CompanyMailchimp",0.350540373347676,0.238988942112387,1.46676398602087,0.142455628917344,"",41.9834582098635
"CompanyMapbox",0.192179376767088,0.185001725673939,1.03879775211286,0.29891107449382,"",21.1887881999545
"CompanyMarqeta",0.127459670919725,0.178048639882275,0.715869949941774,0.474079819282046,"",13.593905594001
"CompanyMarvell",0.178414878448334,0.15906310435835,1.12166098585871,0.262019765455679,"",19.532113135346
"CompanyMassmutual",0.0640033131092287,0.177970743755063,0.359628283608879,0.719128838636735,"",6.60959308479214
"CompanyMastercard",0.24465532388962,0.151793017034389,1.61176929393394,0.107027566172239,"",27.7181023543136
"CompanyMathworks",0.196171967358818,0.184895008164823,1.06099115009067,0.28870643844197,"",21.6736126242226
"CompanyMcafee",0.147111383017623,0.16304781882663,0.902259129108911,0.366929845367261,"",15.8482991175372
"CompanyMckinsey",0.357126521908083,0.148938482635578,2.39781227516531,0.0165022140795913,"*",42.9216685637187
"CompanyMedallia",0.572309344434568,0.194899194188084,2.93643771498753,0.00332374913075134,"**",77.2355307887023
"CompanyMedtronic",0.0490099905081358,0.16584032156565,0.295525177745959,0.767595718559503,"",5.02308430273981
"CompanyMellanox",0.400149353547095,0.238679635593525,1.67651233651352,0.0936531488081546,".",49.2047523591016
"CompanyMi",0.50330086246177,0.177970465901456,2.82800216267598,0.00468849606538025,"**",65.4172464723822
"CompanyMic",0.498400895646113,0.177980609576645,2.80031008339413,0.00511013696352198,"**",64.6086900215831
"CompanyMicrochip",-0.210651356324217,0.172736284064847,-1.21949686173136,0.222669714541256,"",-18.9943561290777
"CompanyMicron",0.127699823048374,0.177883607193473,0.717884155055857,0.472836909401588,"",13.6211886881464
"CompanyMicrosoft",0.371095336375732,0.13800931292759,2.68891517900996,0.00717426696509016,"**",44.9321239834673
"CompanyMicrostrategy",0.090740539597835,0.238740037662614,0.380080946984137,0.703889271097401,"",9.49848631852845
"CompanyMitre",-0.0385782208738792,0.210541925948535,-0.183232962746381,0.854617046032195,"",-3.78435589213685
"CompanyMixpanel",0.647574181207759,0.184936125030035,3.50160998075735,0.00046344079991938,"***",91.0899705611681
"CompanyMobileiron",0.218503413983605,0.184817809313719,1.18226384564869,0.237114756478843,"",24.4213264343601
"CompanyMongodb",0.480960955395545,0.153388520140929,3.13557334638636,0.00171761146680215,"**",61.7628124018405
